case_id,conscientiousness_score,neuroticism_score
308361,1,0.25
278860,1,0.266666666666667
274147,1,0.226666666666667
243498,1,0.253333333333333
234778,1,0.213333333333333
217392,1,0.213333333333333
185687,1,0.426666666666667
130612,1,0.436666666666667
109658,1,0.226666666666667
42784,1,0.226666666666667
12611,1,0.246666666666667
321253,0.996666666666667,0.21
308212,0.996666666666667,0.233333333333333
234892,0.996666666666667,0.256666666666667
216392,0.996666666666667,0.27
171410,0.996666666666667,0.606666666666667
333985,0.993333333333333,0.336666666666667
326505,0.993333333333333,0.22
311316,0.993333333333333,0.386666666666667
301826,0.993333333333333,0.276666666666667
262203,0.993333333333333,0.253333333333333
256387,0.993333333333333,0.253333333333333
246965,0.993333333333333,0.486666666666667
181666,0.993333333333333,0.34
174959,0.993333333333333,0.26
131451,0.993333333333333,0.266666666666667
111789,0.993333333333333,0.246666666666667
107234,0.993333333333333,0.23
102805,0.993333333333333,0.226666666666667
66238,0.993333333333333,0.323333333333333
318347,0.99,0.213333333333333
315983,0.99,0.25
315753,0.99,0.353333333333333
294203,0.99,0.243333333333333
288135,0.99,0.28
262132,0.99,0.296666666666667
260750,0.99,0.31
253121,0.99,0.383333333333333
252754,0.99,0.496666666666667
227128,0.99,0.223333333333333
224555,0.99,0.213333333333333
205803,0.99,0.29
186633,0.99,0.336666666666667
123834,0.99,0.436666666666667
95060,0.99,0.253333333333333
86137,0.99,0.45
72314,0.99,0.406666666666667
49688,0.99,0.44
42135,0.99,0.526666666666667
33126,0.99,0.4
330760,0.986666666666667,0.413333333333333
330002,0.986666666666667,0.25
327753,0.986666666666667,0.493333333333333
318854,0.986666666666667,0.213333333333333
314909,0.986666666666667,0.393333333333333
313914,0.986666666666667,0.23
313773,0.986666666666667,0.243333333333333
309304,0.986666666666667,0.326666666666667
309299,0.986666666666667,0.31
308054,0.986666666666667,0.293333333333333
301293,0.986666666666667,0.25
301292,0.986666666666667,0.333333333333333
298864,0.986666666666667,0.336666666666667
289175,0.986666666666667,0.29
288575,0.986666666666667,0.44
269829,0.986666666666667,0.25
262063,0.986666666666667,0.41
219692,0.986666666666667,0.24
210423,0.986666666666667,0.393333333333333
207585,0.986666666666667,0.213333333333333
197069,0.986666666666667,0.476666666666667
193356,0.986666666666667,0.29
172423,0.986666666666667,0.42
145196,0.986666666666667,0.236666666666667
120358,0.986666666666667,0.466666666666667
79161,0.986666666666667,0.62
69439,0.986666666666667,0.24
66002,0.986666666666667,0.213333333333333
54224,0.986666666666667,0.38
50959,0.986666666666667,0.423333333333333
33473,0.986666666666667,0.23
31255,0.986666666666667,0.24
20143,0.986666666666667,0.243333333333333
15998,0.986666666666667,0.586666666666667
333927,0.983333333333333,0.42
330657,0.983333333333333,0.31
317851,0.983333333333333,0.413333333333333
313930,0.983333333333333,0.306666666666667
307123,0.983333333333333,0.353333333333333
306397,0.983333333333333,0.556666666666667
305860,0.983333333333333,0.253333333333333
303126,0.983333333333333,0.273333333333333
302367,0.983333333333333,0.27
290788,0.983333333333333,0.406666666666667
289306,0.983333333333333,0.25
281199,0.983333333333333,0.443333333333333
275727,0.983333333333333,0.25
265423,0.983333333333333,0.27
262278,0.983333333333333,0.276666666666667
261675,0.983333333333333,0.37
